Date,Description,Amount,Schedule C Category
01-11-21,ACH CAPITAL ONE MOBILE PMT,-150,Owners Draw
01-11-21,Cash Roundup Transfer,-10.95,Miscellaneous Expenses
01-11-21,Check 2933,-20,Paid Checks
01-11-21,Check 3177,-3300,Paid Checks
01-11-21,Check 3178,-500,Paid Checks
01-11-21,Check 3179,-900,Paid Checks
01-11-21,Check 3307,-40,Paid Checks
01-12-21,ACH Square Inc 210112 P2,606.57,Business Income
01-12-21,Debit Card E-Z MART #4035 SULPHUR SPRI T #0759,-7.57,Vehicle Expenses:Fuel
01-12-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-20.6,Vehicle Expenses:Fuel
01-12-21,Debit Card LIBERTY POWER HO 866-7693799 F #4349,-98.65,Utilities:Electricity
01-12-21,Debit Card FIX & FEED SULPH SULPHUR SPRI NT #4349,-20.26,Business Supplies
01-12-21,Debit Card GT TOOLS - MATCO PARIS T #4349,-124.03,COGS:Materials & Supplies
01-12-21,Debit Card GT TOOLS - MATCO PARIS T #4349,-50,COGS:Materials & Supplies
01-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-22.88,Meals
01-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-8.41,Meals
01-12-21,Debit RCR NETFLIX.COM NETFLIX.COM C #4349,-19.2,Owners Draw
01-12-21,Debit RCR Amazon Prime*1H3 Amzn.com/bil lW #4349,-14.06,Owners Draw
01-12-21,ACH LTG TEXARKANA T PURCHASE TELECHK 800-697-926 CK 3176,-374.93,Repairs & Maintenance:Equipment
01-12-21,ACH ENGIE RESOURCES 9033486408,-246.4,Utilities:Gas
01-12-21,Cash Roundup Transfer,-5.52,Miscellaneous Expenses
01-13-21,Debit Card Rev PRICE INTERNATIO 903-5979363 T #4349,412.5,Uncategorized
01-13-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-40,Owners Draw
01-13-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-34.12,Business Supplies
01-13-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-5.41,Business Supplies
01-13-21,Debit Card BODACIOUS BBQ SULPHUR SPRI NT #4349,-17.81,Meals
01-13-21,Debit Card PAYPAL *NURSEHUB 4029357733 C #4349,-23.25,Contract Labor
01-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-167.81,COGS:Materials & Supplies
01-13-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-8.88,Meals
01-13-21,Debit Card AMERICAN HEART S 8882428883 T #0759,-31,Owners Draw
01-13-21,Debit Card CHEGG ORDER 8558681054 C #0759,-441.63,Owners Draw
01-13-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-13-21,Debit RCR APPLE.COM/BILL 866-712-7753 C #4349,-35.65,Owners Draw
01-13-21,Debit RCR APPLE.COM/BILL 866-712-7753 C #4349,-10.81,Owners Draw
01-13-21,ACH ATMOS ENERGY SGL UTIL PYMT,-263.96,Utilities:Gas
01-13-21,Cash Roundup Transfer,-3.81,Miscellaneous Expenses
01-13-21,Check 3180,-1050,Paid Checks
01-13-21,Check 3181,-750,Paid Checks
01-13-21,Check 3182,-250,Paid Checks
01-14-21,Deposit,500,Business Income
01-14-21,ACH Square Inc 210114 P2,458.53,Business Income
01-14-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-200,Owners Draw
01-14-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-13.3,Business Supplies
01-14-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-2.15,Business Supplies
01-14-21,Debit Card ATWOOD SULPHUR S SULPHUR SPRI NT #4349,-119.05,COGS:Materials & Supplies
01-14-21,Debit Card PARIS JUNIOR COL PARIS T #0759,-5,Owners Draw
01-14-21,Debit Card TIERRA DEL SOL SULPHUR SPRI NT #4349,-45.25,Meals
01-14-21,Debit Card LTG TEXARKANA TR NASH T #4349,-49.99,Repairs & Maintenance:Equipment
01-14-21,Debit Card FIX & FEED SULPH SULPHUR SPRI NT #4349,-30.3,Business Supplies
01-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-10.29,COGS:Materials & Supplies
01-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-30.23,COGS:Materials & Supplies
01-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-209.85,COGS:Materials & Supplies
01-14-21,Debit Card SQ *TEXAS TEN ST Saltillo T #4349,-100,Meals
01-14-21,Debit Card EXXONMOBIL 45 SULPHUR SPRI NT #4349,-8.16,Vehicle Expenses:Fuel
01-14-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-14-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-13.06,Meals
01-14-21,Cash Roundup Transfer,-7.55,Miscellaneous Expenses
01-15-21,Deposit,5438.75,Business Income
01-15-21,ACH Square Inc 210115 P2,172.85,Business Income
01-15-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-44.58,Business Supplies
01-15-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-17.58,Vehicle Expenses:Fuel
01-15-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-3.77,Business Supplies
01-15-21,Debit Card CHICK-FIL-A #041 SULPHUR SPRI NT #4349,-8.87,Meals
01-15-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-10.03,Meals
01-15-21,Debit Card BURGER KING #406 SULPHUR SPRI NT #0759,-6.81,Meals
01-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-24.2,COGS:Materials & Supplies
01-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-15.74,COGS:Materials & Supplies
01-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-24.14,COGS:Materials & Supplies
01-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-34.68,COGS:Materials & Supplies
01-15-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-2.91,Meals
01-15-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
01-15-21,Cash Roundup Transfer,-4.87,Miscellaneous Expenses
01-19-21,Deposit,400,Business Income
01-19-21,Deposit,1304.23,Business Income
01-19-21,ACH Square Inc 210118 P2,176.74,Business Income
01-19-21,ACH Square Inc 210119 P2,518.66,Business Income
01-19-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,1.94,COGS:Materials & Supplies
01-19-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-8.16,Vehicle Expenses:Fuel
01-19-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-3.33,Business Supplies
01-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.01,Business Supplies
01-19-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-12.14,Vehicle Expenses:Fuel
01-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-10.32,Business Supplies
01-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-7.85,Business Supplies
01-19-21,Debit Card O'REILLY AUTO PA SULPHUR SPRI NT #4349,-12.39,COGS:Materials & Supplies
01-19-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-16.01,Vehicle Expenses:Fuel
01-19-21,Debit Card WM SUPERCENTER # SULPHUR SPRI NT #0759,-155.16,Business Supplies
01-19-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #4349,-45.82,Meals
01-19-21,Debit Card THE CMI GROUP PLANO T #0759,-39.96,Business Insurance
01-19-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #4349,-10.99,Meals
01-19-21,Debit Card MAX MART 3 SULPHUR SPRI NT #4349,-12.66,Business Supplies
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-302.22,COGS:Materials & Supplies
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-19.14,COGS:Materials & Supplies
01-19-21,Debit Card GT TOOLS - MATCO PARIS T #4349,-46.59,COGS:Materials & Supplies
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-72.67,COGS:Materials & Supplies
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-6.96,COGS:Materials & Supplies
01-19-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-38.75,Meals
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-19.12,COGS:Materials & Supplies
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-51.95,COGS:Materials & Supplies
01-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
01-19-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-8.88,Meals
01-19-21,Debit Card Prime Video*8L2O 888-802-3080 W #4349,-9.73,Owners Draw
01-19-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-30,Owners Draw
01-19-21,Debit Card CHICK-FIL-A #041 SULPHUR SPRI NT #4349,-25.46,Meals
01-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-200,Owners Draw
01-19-21,Debit Card PAYPAL *WHATABUR 4029357733 T #4349,-30.17,Meals
01-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-12.5,COGS:Materials & Supplies
01-19-21,Debit Card EXXONMOBIL 45 SULPHUR SPRI NT #4349,-7.85,Vehicle Expenses:Fuel
01-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-13.39,Meals
01-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-23.97,Meals
01-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-35.46,Meals
01-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
01-19-21,Debit RCR Subway 12013 9038857990 T #4349,-25.9,Meals
01-19-21,Debit RCR HLU*HULU 1339504 HULU.COM/BIL LC #4349,-80.08,Owners Draw
01-19-21,Debit RCR APPLE.COM/BILL 866-712-7753 C #4349,-17.31,Owners Draw
01-19-21,Debit RCR APPLE.COM/BILL 866-712-7753 C #4349,-2.99,Owners Draw
01-19-21,Withdrawal,-1100,Owners Draw
01-19-21,ACH LTG TEXARKANA T PURCHASE TELECHK 800-697-926 CK 3183,-685.9,Repairs & Maintenance:Equipment
01-19-21,Cash Roundup Transfer,-16.47,Miscellaneous Expenses
01-19-21,Check 3184,-23.9,Paid Checks
01-19-21,Check 3186,-348.28,Paid Checks
01-19-21,Check 3188,-900,Paid Checks
01-19-21,Check 3189,-500,Paid Checks
01-20-21,Deposit,2150,Business Income
01-20-21,Debit Card Rev INSTACART SAN FRANCISC OC #4349,4.25,Uncategorized
01-20-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-16.01,Vehicle Expenses:Fuel
01-20-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-13.58,Business Supplies
01-20-21,Debit Card WAL-MART #0417 SULPHUR SPRI NT #4349,-82.49,Business Supplies
01-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-118.99,COGS:Materials & Supplies
01-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-38,COGS:Materials & Supplies
01-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-54.79,COGS:Materials & Supplies
01-20-21,Debit Card INSTACART SAN FRANCISC OC #4349,-246.33,Owners Draw
01-20-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-20-21,Debit RCR WWE NETWORK 5122 NEW YORK N #4349,-10.81,Owners Draw
01-20-21,Debit RCR PAYPAL *QUIZLET. 4029357733 C #4349,-47.88,Office Expenses:Software
01-20-21,ACH LTG TEXARKANA T PURCHASE TELECHK 800-697-926 CK 3185,-174.84,Repairs & Maintenance:Equipment
01-20-21,ACH LOANCARE SERV MTG PYMT,-507.69,Owners Draw
01-20-21,Cash Roundup Transfer,-3.3,Miscellaneous Expenses
01-20-21,Check 3187,-250,Paid Checks
01-20-21,Check 3190,-750,Paid Checks
01-21-21,ACH Square Inc 210121 P2,451.92,Business Income
01-21-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.01,Business Supplies
01-21-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-61.18,Business Supplies
01-21-21,Debit Card SHELL SERVICE S SULPHUR SPRI NT #0759,-12.75,Vehicle Expenses:Fuel
01-21-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-10.51,Business Supplies
01-21-21,Debit Card BODACIOUS BBQ SULPHUR SPRI NT #4349,-34.86,Meals
01-21-21,Debit Card LTG TEXARKANA TR NASH T #4349,-42.42,Repairs & Maintenance:Equipment
01-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-271.11,COGS:Materials & Supplies
01-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-118.68,COGS:Materials & Supplies
01-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-211.15,COGS:Materials & Supplies
01-21-21,Debit Card AT&T*BILL PAYMEN 8003310500 T #4349,-640.81,Utilities:Phone
01-21-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-11.01,Meals
01-21-21,ACH CAPITAL ONE MOBILE PMT,-125,Owners Draw
01-21-21,ACH Synchrony Bank CC PYMT,-100,Owners Draw
01-21-21,ACH WEBFILE TAX PYMT DD,-225.09,Taxes and Licenses
01-21-21,Cash Roundup Transfer,-6.51,Miscellaneous Expenses
01-21-21,Check 3191,-1050,Paid Checks
01-22-21,Deposit,4937.5,Business Income
01-22-21,ACH Square Inc 210122 P2,1599.8,Business Income
01-22-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,77.14,COGS:Materials & Supplies
01-22-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.66,Business Supplies
01-22-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-149.47,COGS:Materials & Supplies
01-22-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-134.05,COGS:Materials & Supplies
01-22-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-26.88,COGS:Materials & Supplies
01-22-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-22-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-8.83,Meals
01-22-21,Cash Roundup Transfer,-2.29,Miscellaneous Expenses
01-25-21,ACH Square Inc 210125 P2,557.05,Business Income
01-25-21,Debit Card O'REILLY AUTO PA SULPHUR SPRI NT #4349,-125.95,COGS:Materials & Supplies
01-25-21,Debit Card CVS/PHARMACY #07 Sulphur Spri nT #0759,-87.04,Business Supplies
01-25-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.01,Business Supplies
01-25-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-31.1,Vehicle Expenses:Fuel
01-25-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-26.82,Vehicle Expenses:Fuel
01-25-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-19.44,Business Supplies
01-25-21,Debit Card OPTIMUM OUTCOMES 877-7959819 A #4349,-127.37,Owners Draw
01-25-21,Debit Card COLLEGE PAY AMARILLO T #4349,-102.75,Owners Draw
01-25-21,Debit Card COLLEGE PAY AMARILLO T #4349,-2.52,Owners Draw
01-25-21,Debit Card BURGER KING #406 SULPHUR SPRI NT #0759,-6.81,Meals
01-25-21,Debit Card CHICKEN EXPRESS- GREENVILLE T #0759,-40.77,Meals
01-25-21,Debit Card WINDHAM PROS-FIC 800-969-0059 N #0759,-125,Legal & Professional Services
01-25-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-170.87,COGS:Materials & Supplies
01-25-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-25-21,Debit Card BAHAMA BUCKS ROCKWALL T #0759,-25,Owners Draw
01-25-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-200,Owners Draw
01-25-21,Debit Card QT 983 GREENVILLE T #4349,-6.34,Vehicle Expenses:Fuel
01-25-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-25-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.91,Meals
01-25-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-27.11,Meals
01-25-21,Debit Card MCDONALD'S F6425 GREENVILLE T #0759,-5.39,Meals
01-25-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-25-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-25.84,Meals
01-25-21,Debit RCR DISNEYPLUS 888-9057888 C #4349,-7.57,Owners Draw
01-25-21,Debit RCR APPLE.COM/BILL 866-712-7753 C #4349,-38.93,Owners Draw
01-25-21,Cash Roundup Transfer,-9,Miscellaneous Expenses
01-25-21,Check 3193,-500,Paid Checks
01-25-21,Check 3195,-900,Paid Checks
01-26-21,Deposit,550.26,Business Income
01-26-21,ACH Square Inc 210126 P2,871.76,Business Income
01-26-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,237.84,COGS:Materials & Supplies
01-26-21,ATM Withdrawal 1610 POSEY LANE SULPHUR SPRI NT #0759,-500,Owners Draw
